REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BK7485863	PRACTITIONER-DW/275	KHOURY, MUFID MD	null	6220 W BELL ROAD SUITE 100	null	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051480	HYDROCODONE	10	null	null	null	null	null	7242012	0.6054	200	64	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BL2528404	PRACTITIONER	LEDERMAN, EVAN S MD	null	2222 E. HIGHLAND AVE.	SUITE 300	PHOENIX	AZ	85016	MARICOPA	S	9193	12634078371	HYDROCODONE	10	null	null	null	00000771	null	1072008	1.36215	300	53	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BN9327859	PRACTITIONER	NUCATOLA, DEBORAH L	null	5400 RALSTON STREET	null	VENTURA	CA	93003	VENTURA	S	9193	12634051400	HYDROCODONE	20	null	null	null	null	null	2092007	0.6054	200	30	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634051471	HYDROCODONE	40	null	null	null	null	null	9122007	3.6324	1200	68	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	11072008	1.8162	600	23	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634078371	HYDROCODONE	20	null	null	null	null	null	10122009	2.7243	600	51	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634078371	HYDROCODONE	10	null	null	null	null	null	2042012	1.36215	300	16	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS9061336	PRACTITIONER-DW/275	SLOAN, RICK MICHAEL WESLEY, MD	COMPASSIONATE CARE CENTERS LLC	3201 WEST PEORIA AVENUE	SUITE D805	PHOENIX	AZ	85029	MARICOPA	S	9193	12634051480	HYDROCODONE	10	null	null	null	null	null	1172011	0.6054	200	48	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BT6145937	PRACTITIONER	TORRES, JOHN EDUARDO MD	COMPLETE EMERGENCY CARE PUEBLO LLC	2035 S. PUEBLO BLVD	null	PUEBLO	CO	81005	PUEBLO	S	9193	12634051485	HYDROCODONE	10	null	null	null	null	null	1122009	0.45405	150	30	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051496	HYDROCODONE	4	null	null	null	null	null	11052009	0.072648	24	24	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051496	HYDROCODONE	3	null	null	null	null	null	9152010	0.054486	18	74	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634084959	HYDROCODONE	3	null	null	null	22870965	null	12092010	0.408645	90	44	HYDROCODONE BITARTRATE & ACETA 7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FC1491923	PRACTITIONER	CIFUENTES, ENRIQUE A. MD	GILA IM & GERIATRICS P.C.	2727 W. BASELINE RD. SUITE # 8	null	TEMPE	AZ	85283	MARICOPA	S	9193	53746011105	HYDROCODONE	1	null	null	null	null	null	10192009	1.5135	500	79	HYDROCODONE/ACETAMINOPHEN 5MG/500MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FH2969509	PRACTITIONER	HOBBS, DOUGLAS DON MD	URGENT CARE EXTRA AZ	6501 E. GREENWAY PARKWAY	SUITE 3-104	SCOTTSDALE	AZ	85254	MARICOPA	S	9193	12634078371	HYDROCODONE	20	null	null	null	null	null	5292012	2.7243	600	45	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FH3007413	PRACTITIONER	HOBBS, DOUGLAS D MD	null	1641 E GUADALUPE RD	null	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	11012012	1.8162	600	11	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS0458744	PRACTITIONER	SAWYER, JEFFRY S	null	3200 S. GILBERT RD	null	CHANDLER	AZ	85286	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	4182008	1.8162	600	66	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS0458744	PRACTITIONER	SAWYER, JEFFRY S	null	3200 S. GILBERT RD	null	CHANDLER	AZ	85286	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	1222009	1.8162	600	65	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS0458744	PRACTITIONER	SAWYER, JEFFRY S	null	3200 S. GILBERT RD	null	CHANDLER	AZ	85286	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	5262012	1.8162	600	38	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS0458744	PRACTITIONER	SAWYER, JEFFRY S	null	3200 S. GILBERT RD	null	CHANDLER	AZ	85286	MARICOPA	S	9193	12634078371	HYDROCODONE	20	null	null	null	null	null	8012012	2.7243	600	3	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS1390424	PRACTITIONER	SAWYER, JEFFRY S MD	null	6323 S. RURAL RD	SUITE 105-107	TEMPE	AZ	85283	MARICOPA	S	9193	12634078371	HYDROCODONE	40	null	null	null	null	null	2172012	5.4486	1200	48	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS2023911	PRACTITIONER	SAWYER, JEFFRY MD	EAST VALLEY URGENT CARE, LLC	1120 S. GILBERT RD	null	MESA	AZ	85204	MARICOPA	S	9193	12634078371	HYDROCODONE	20	null	null	null	null	null	12162011	2.7243	600	47	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FS2023911	PRACTITIONER	SAWYER, JEFFRY MD	EAST VALLEY URGENT CARE, LLC	1120 S. GILBERT RD	null	MESA	AZ	85204	MARICOPA	S	9193	12634051471	HYDROCODONE	40	null	null	null	null	null	7262012	3.6324	1200	80	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591054001	HYDROCODONE	4	null	null	null	null	0000	10232006	2.4216	400	1079	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	10
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591038505	HYDROCODONE	2	null	null	null	null	0000	10062006	4.5405	1e3	252	HYDROCODONE BIT.7.5MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	7.5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	53746014501	HYDROCODONE	2	null	null	null	null	0000	3162007	0.9081	200	705	HYDROCODONE/IBUPROFEN 7.5MG/200MG TA	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	KPH Healthcare Services, Inc.	7.5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591038701	HYDROCODONE	2	null	null	null	null	0000	5182007	0.9081	200	821	HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	7.5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591054001	HYDROCODONE	5	null	null	null	null	0000	8242007	3.0269999999999997	500	1148	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	10
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591034905	HYDROCODONE	2	null	null	null	null	0000	8172007	3.0269999999999997	1e3	801	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591034905	HYDROCODONE	2	null	null	null	null	0000	12072007	3.0269999999999997	1e3	340	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591038505	HYDROCODONE	2	null	null	null	null	0000	7252008	4.5405	1e3	1226	HYDROCODONE BIT.7.5MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	7.5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591034905	HYDROCODONE	2	null	null	null	null	0000	1232009	3.0269999999999997	1e3	1108	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591034905	HYDROCODONE	3	null	null	null	null	0000	7242009	4.5405	1500	1226	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	5
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591085301	HYDROCODONE	2	null	null	null	null	0000	7312009	1.2108	200	1584	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	10
PB0020052	DISTRIBUTOR	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS WAREHOUSE	520 EAST MAIN ST.	null	GOUVERNEUR	NY	13642	SAINT LAWRENCE	AB0563709	CHAIN PHARMACY	KPH HEALTHCARE SERVICES, INC.	KINNEY DRUGS #24	3873 ROME ROAD	null	PULASKI	NY	13142	OSWEGO	S	9193	591054001	HYDROCODONE	7	null	null	null	null	0000	7172009	4.2378	700	858	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	KPH Healthcare Services, Inc.	10
